,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
1993,Casa,,Villa Allende,Cóndor Alto,Formosa 100,,,,,,,,,,,,,250000.0
1994,Casa,,Córdoba,Empalme,Avenida Sabattini 4300,,,,,81,,3.0,2.0,2.0,,700,276,410000.0
1995,Casa,,Villa Allende,Villa Allende,Mendiolaza - Estancia Q2,,,,,4,,3.0,3.0,2.0,,1560,,0.0
1996,Casa,,Córdoba,San Judas Tadeo al 8400,Córdoba  3 dormitorios,,,,,1,,3.0,3.0,,,360,170,200000.0
1997,Casa,,Punilla,Punilla,Excelente Emprendimiento! 4 Amb. Piscina y Cochera!!,,,,,En construcción,,2.0,,,,500,105,150000.0
1998,Casa,,Villa Carlos Paz,Villa Carlos Paz,GOBERNADOR ALCORTA 600,,,,,,,,,,,,,156000.0
1999,Casa,,Villa Carlos Paz,Villa Carlos Paz,RUTA 28 11,,,,,,,,,3.0,,1260,600,550000.0
2000,Casa,,Córdoba,General Bustos,Diagonal Ica 400,,,,,A estrenar,,2.0,,,,126,125,86000.0
2001,Casa,,Córdoba,Córdoba,Dr. Manuel Parga 3700,,,,,5,,3.0,2.0,2.0,,273,150,165000.0
2002,Casa,,Córdoba,Colón,Azurduy 2400,,,,,30,,3.0,3.0,,,330,330,180000.0
2003,Casa,,Villa Carlos Paz,Villa Carlos Paz,25 DE MAYO 200,,,,,27,,3.0,2.0,,,253,93,125000.0
2004,Casa,,Córdoba,Córdoba,Céliz de Quiroga 400,,,,,16,,3.0,3.0,3.0,,611,416,300000.0
2005,Casa,,Córdoba,Jardín Espinoza,Jardin,,,,,,,,,,,,,330000.0
2006,Casa,,Córdoba,Cerro de las Rosas,Av. Fernando Fader 4418,,,,,A estrenar,,4.0,3.0,2.0,,450,340,290000.0
