,Tipo de Propiedad,Zona,Barrio,Tipo de Barrio,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Superficie Cubierta m2,Superficie Total m2,Zona_was_missing,Barrio_was_missing,Tipo de Barrio_was_missing,Cantidad de Dormitorios_was_missing,Cantidad de Baños_was_missing,Cantidad de Cocheras_was_missing,Superficie Cubierta m2_was_missing,Superficie Total m2_was_missing,Valor
2720,Duplex,Oeste,Valle Escondido,Cerrado,3.0,2.0,0.0,200.0,358.67352294921875,False,False,False,False,True,True,False,True,240000.0
2721,Casa,Sur,Otro,Abierto,2.0,1.0,2.0,140.0,300.0,True,True,True,False,False,False,False,False,145000.0
2722,Casa,Norte,Otro,Con Seguridad,3.0,2.0,2.0,130.0,450.0,True,True,True,False,True,False,False,False,190000.0
2723,Casa,Sur,Claros del Bosque,Cerrado,2.0,2.0,2.0,190.0,400.0,False,False,False,False,False,False,False,False,280000.0
2724,Casa,Oeste,La Cuesta,Country,3.0,3.0,2.0,300.0,1390.0,False,False,False,False,False,False,False,False,400000.0
2725,Casa,Sur,Colinas de Vélez Sársfield,Abierto,2.0,2.0,1.0,253.0,148.0,False,False,False,False,False,False,False,False,135000.0
2726,Casa,Sur,Altos de Vélez Sársfield,Abierto,4.0,1.0,1.0,120.0,250.0,False,False,False,False,False,False,False,False,120000.0
2727,Casa,Sur,Manantiales,Con Seguridad,3.0,2.0,0.0,158.1754150390625,269.37969970703125,False,False,False,False,True,True,True,True,160000.0
2728,Duplex,Noroeste,Chacra del Norte,Con Seguridad,3.0,3.0,2.0,180.0,180.0,False,False,False,False,False,False,False,False,185000.0
2729,Casa,Central,Nueva Córdoba,Abierto,2.0,2.0,0.0,155.55862426757812,358.33099365234375,False,False,False,False,True,True,True,True,230000.0
2730,Casa,Cerro-Argüello,Lomas Este,Abierto,3.0,2.0,0.0,200.0,1300.0,False,False,False,False,True,True,False,False,220000.0
