,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito:,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
3353,Casa,,Córdoba,Arguello Norte,Coligue 9063,,,,,,2 Plantas,2 Dormitorios,2 Baños,2,Semidescubierta,150,95,95000
3354,Casa,Sur,Córdoba,,valparaiso 7000,Cerrado,,,,,2 Plantas,3 Dormitorios,3 Baños,2,,360,195,255000
3355,Casa,Norte,Córdoba,Villa Belgrano,Tycho Brahe 5000,Abierto,Si,,Terminada,,1 Planta,3 Dormitorios,2 Baños,3,Cubierta,550,185,240000
3356,Casa,,Río Ceballos,Villa Catalina,,Abierto,Si,,,,1 Planta,2 Dormitorios,1 Baño,1,Cubierta,475,85,99000
3357,Casa,Norte,Córdoba,Escobar,Gato y Mancha 1500,Abierto,Si,,Terminada,50 años,1 Planta,2 Dormitorios,2 Baños,2,,400,200,145000
3358,Casa,,Los Molinos,,,Abierto,Si,,,,,3 Dormitorios,,,,1600,320,410000
3359,Casa,Sur,Córdoba,Pque. San CARLOS,Huascha  3200,Abierto,Si,,Terminada,40 años,1 Planta,3 Dormitorios,1 Baño,2,Semidescubierta,280,105,122000
3360,Casa,,Córdoba,Res. America,Enrique Martinez Paz 700,Abierto,,,,,,3 Dormitorios,1 Baño,1,,,,
3361,Casa,,Córdoba,Alto Verde,Ombú  3691,Abierto,,,,,,4 Dormitorios,2 Baños,1,Cubierta,631,120,140000
3362,Casa,,La Calera,,,Abierto,,,Terminada,,,3 Dormitorios,2 Baños,1,Cubierta,384,195,
3363,Casa,,Mendiolaza,Estancia Q2,Calasanz 234,,,,,,2 Plantas,3 Dormitorios,4 Baños,1,,1760,650,
3364,Cabaña,,Villa Parque Siquiman,,,Abierto,,,Terminada,1 año,,3 Dormitorios,,3,Semidescubierta,1459,,250000
3365,Casa,Norte,Córdoba,,Domingo Albariños 8451,Abierto,,,Terminada,10 años,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,407,234,260000
3366,Casa,,Córdoba,Talleres Oeste,Panaholma 1233,Abierto,Si,,Terminada,50 años ,1 Planta,2 Dormitorios,1 Baño,1,Cubierta,480 m2,200 m2,120000
3367,Casa,Oeste,Córdoba,Las Palmas,Yavi 4462,Abierto,Si,,Terminada,5 años,,4 Dormitorios,1 Baño,1,Cubierta,,,
