,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
1034,Casa,,Pdo. de Punilla,Villa Carlos Paz,Bahia Escondida 100,,,,,15,,3,3,,,20.000,250,450000
1035,Casa,,Córdoba,Alta Cordoba,Sarachaga 300,,,,,,1,2,1,1,,252,150,85000
1036,Casa,,Córdoba,San Francisco,Isaac Albeniz 1600,,,,,29,2,3,4,3,,278,279,180000
1037,Casa,,Countries y Barrios Cerrados Cordoba Capital,Valle Escondido,Los Cielos 100,,,,,,2,3,3,2,,300,200,450000
1038,,,Pdo. de Calamuchita,Los Reartes,Santiago del Estero al 100 ,,,,,,,2,1,,,1.120,140,115000
1039,Casa,,Córdoba,Alta Cordoba,Lope De Vega 1000,,,,,,,6,2,,,170,135,128865
1040,Casa,,Pdo. de Colon,Unquillo,Corral De Barranca ,,,,,6,2,3,2,2,,12.000,290,470000
1041,Casa,,Pdo. de Tercero Arriba,Almafuerte,,,,,,,,,,,,,,
1042,Casa,,Countries y Barrios Cerrados Cordoba Capital,Valle Escondido,Santina Norte 100,,,,,,2,3,3,2,,200,100,350000
1043,Duplex,,Pdo. de Calamuchita,La Calera,"La Calera, Los Aromos 100",,,,,2,2,2,2,2,,125,80,90000
1044,Duplex,,Pdo. de Colon,La Calera,,,,,,,,2,2,,,60,"87,40",65721
1045,Duplex,,Córdoba,Valle Cercano,Calle Publica 100,,,,,,2,2,2,2,,250,100,100000
1046,Casa,,Córdoba,Alta Cordoba,Lope De Vega 1000,,,,,,,6,2,,,170,135,128865
1047,Casa,,Countries y Barrios Cerrados Cordoba Capital,Valle Escondido,Santina Norte 100,,,,,,2,3,3,2,,200,100,350000
1048,Casa,,Córdoba,Colon,Asturias 2700,,,,,40,,3,2,,,255,131,43685
1049,Casa,,Córdoba,General Pueyrredon,Anibal Troilo 1400,,,,,,,3,2,2,,300,150,75000
1050,,,Pdo. de Calamuchita,Los Reartes,Santiago del Estero al 100 ,,,,,,,2,1,,,1.120,140,115000
1051,Casa,,Córdoba,Villa Cabrera,Claudio Cuenca 2000,,,,,55,1,3,2,4,,227,163,135000
1052,,,Córdoba,Inaudi,cabo varas al 500 ,,,,,25,1,3,2,1,,258,140,130000
1053,Casa,,Córdoba,Alta Cordoba,Lope De Vega 1000,,,,,,,6,2,,,170,135,128865
1054,Casa,,Córdoba,Manantiales,Manantiales Country 100,,,,,,2,3,2,2,,125,115,150000
1055,Casa,,Countries y Barrios Cerrados Cordoba Capital,Valle Escondido,Los Cielos 100,,,,,,2,3,3,2,,300,200,450000
1056,,,Rio Ceballos,Villa Catalina,Lote 66 Manzana 28 ,,,,,,,2,1,1,,475,115,92000
1057,,,Pdo. de Calamuchita,Villa General Belgrano,Villa Berna ,,,,,55,2,4,3,2,,18.600,1.060,390000
1058,,,Pdo. de Punilla,San Roque,Bercovich Rodriguez ,,,,,,1,3,2,,,1.000,220,150000
1059,Duplex,,Countries y Barrios Cerrados Cordoba Capital,Chacra del Norte,Chacra Del Norte 100,,,,,,,3,3,2,,180,160,175000
1060,Casa,,Córdoba,Santa Cecilia,Quiroga Sarmiento 4300,,,,,45,1,3,1,2,,300,157,125000
